"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
117.333297,-22.410622,"Tephrosia densa",2854273866,"Site 5T (Nammuldi test pit survey), Nammuldi/Silvergrass lease area, near Mount Brockman, WNW of Tom Price,","AUS",100,1998,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
115.433333,-23.3,"Tephrosia densa",2853928472,"ExSB 167, Towera Station","AUS",NA,1981,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
115.578471,-22.430813,"Tephrosia densa",2854032690,"Parry Range, 7.7 km N of Mt Murray, 10.3 km NE of the Nanutarra Wittenoom Road and North West Coastal Highway intersection, 15 km NE of the Nanutarra Roadhouse, 100 km SE of Onslow township. Cane River Conservation Park, Pilbara IBRA","AUS",100,2011,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
118.6855,-23.195083,"Tephrosia densa",2853765639,"Site number: 1008. 8.5 km south-south-west of West Angela Hill, Hamersley Ranges, Fortescue Botanical District","AUS",3000,1997,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
114.319,-22.455556,"Tephrosia densa",2853987944,"Quadrat GIR 24 in Giralia Station South of Exmouth Gulf","AUS",100,2006,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
116.630556,-22.469444,"Tephrosia densa",2854018822,"7 km NE of Quarry Hill, ca 120 km W of Tom Price","AUS",NA,1984,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
116.726351,-22.190348,"Tephrosia densa",2854242814,"13 km NNW of Mount Farquhar on a pool of a tributary of Serpentine Creek into Duck Creek at base of cliff, West Hamersley Range,","AUS",100,1999,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
118.705972,-22.922833,"Tephrosia densa",2854339542,"Site number: 967. 3.75 km west-north-west of Packsaddle Hill, Hamersley Ranges, Fortescue Botanical District","AUS",3000,1997,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
115.537739,-22.811483,"Tephrosia densa",2854176563,"26 km S of Nanutarra, 30 km E of North West Coastal Highway, Uaroo Station","AUS",100,2012,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
120.62264,-20.91814,"Tephrosia densa",2854368290,"Site: PHYE09, 10.3 km SW of Warrawagine Station Hms, 41.5 km WSW of Mt Cecelia, 95.8 km ENE of Marble Bar, Pilbara IBRA","AUS",100,2006,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
