"spp_file","num_occ","num_occ_sregion"
"Astephanus_triflorus.csv",24,22
"Asteropeia_amblyocarpa.csv",35,28
"Asteropeia_multiflora.csv",47,36
"Asteropeia_rhopaloides.csv",28,21
"Astrotrichilia_asterotricha.csv",39,34
"Asystasia_gangetica.csv",1686,124
"Asystasia_mysorensis.csv",76,22
"Atemnosiphon_coriaceus.csv",32,26
"Athanasia_dentata.csv",53,36
"Athanasia_trifurcata.csv",128,83
"Athrixia_elata.csv",26,21
"Athrixia_phylicoides.csv",47,44
"Athyrium_scandicinum.csv",51,24
"Athyrium_schimperi.csv",79,43
"Atrichum_androgynum.csv",298,24
"Atriplex_lindleyi.csv",890,65
"Atriplex_nummularia.csv",743,29
"Atriplex_semibaccata.csv",1750,78
"Augea_capensis.csv",62,49
"Austrocylindropuntia_subulata.csv",492,28
"Avicennia_marina.csv",751,68
"Azadirachta_indica.csv",2137,156
"Azima_tetracantha.csv",246,136
"Azolla_filiculoides.csv",2318,44
"Babiana_ambigua.csv",70,54
"Babiana_bainesii.csv",30,27
"Babiana_nana.csv",34,23
"Babiana_patula.csv",36,28
"Babiana_ringens.csv",33,23
"Babiana_sambucina.csv",71,47
"Babiana_tubiflora.csv",31,21
"Baccharoides_adoensis.csv",162,39
"Bacopa_monnieri.csv",1562,22
"Baeometra_uniflora.csv",52,32
"Baikiaea_plurijuga.csv",61,47
"Bakerella_ambongoensis.csv",27,22
"Bakerella_clavata.csv",88,71
"Bakerella_hoyifolia.csv",27,21
"Balanites_maughamii.csv",35,25
"Baphia_capparidifolia.csv",130,40
"Baphia_kirkii.csv",28,22
"Baphia_massaiensis.csv",140,109
"Barbula_indica.csv",411,24
"Barleria_albostellata.csv",22,21
"Barleria_elegans.csv",53,42
"Barleria_her.csv",23,22
"Barleria_heterotricha.csv",25,21
"Barleria_kitchingii.csv",25,23
"Barleria_lancifolia.csv",64,58
"Barleria_mackenii.csv",26,24
"Barleria_macrostegia.csv",36,34
"Barleria_matopensis.csv",27,21
"Barleria_obtusa.csv",127,97
